model,pr_auc_mean,pr_auc_std,pr_auc_train_mean,f2_mean,recall_mean,precision_mean,f1_mean,roc_auc_mean,accuracy_mean,n_candidates,best_params,pr_auc_train_test_gap
catboost,0.6656772994874933,0.01550068978975363,0.6915863920649383,0.72473405379654,0.8033444816053512,0.5214282455077641,0.6321600723828094,0.8492771621445764,0.7518673729434627,1,"{'model__depth': 4, 'model__iterations': 100, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.05}",0.025909092577445003
gradient_boosting,0.6648039003274577,0.022189367704790568,0.7106940989318551,0.5443322044570793,0.5197324414715719,0.6730989174987955,0.5861323336887325,0.8478608941698365,0.8054677612801241,2,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",0.04589019860439736
random_forest,0.6612771542058987,0.021592363171979576,0.7463051902451506,0.7073876979950212,0.7692307692307694,0.5355469270198914,0.6313501032415754,0.8478480692514723,0.7616285868737795,1,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.08502803603925191
logistic_regression,0.6596333226324937,0.012674031414810827,0.6695679596706151,0.7139670146195632,0.7879598662207357,0.519345521747559,0.6259257669518243,0.8468930162678262,0.75026879390261,2,{'model__C': 3.0},0.009934637038121363
lightgbm,0.6589071217987649,0.02475736139458963,0.7496834743454344,0.7107679349990866,0.7785953177257526,0.5272211410341865,0.6286636269165842,0.8466034138059108,0.755946956742385,1,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__min_child_samples': 20, 'model__n_estimators': 100, 'model__num_leaves': 15, 'model__subsample': 0.8}",0.09077635254666949
extra_trees,0.6555263558855715,0.016474870545771052,0.7190488280507447,0.711100509414722,0.7779264214046823,0.529702627226119,0.6300754605375024,0.8452966484988302,0.7575461661998958,4,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.06352247216517315
ada_boost,0.6437849811566283,0.012388719177668726,0.6490092819989501,0.4607555416839323,0.42608695652173906,0.6899162583961174,0.5253653536457927,0.84239083351146,0.7967689570229204,1,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.0052243008423218384
decision_tree,0.6309874076460855,0.030502681636383727,0.6897893626084751,0.7118457185840805,0.7872909698996656,0.51571868084149,0.6227562060142477,0.8334127176145609,0.7468963799899447,6,"{'model__max_depth': 8, 'model__min_samples_leaf': 50}",0.0588019549623896
gaussian_nb,0.5775536617314072,0.018955091988718586,0.5787796277135133,0.7213803043799025,0.9103678929765886,0.39424631506075336,0.5501545538737964,0.8191980622211625,0.604899125454491,2,{'model__var_smoothing': 1e-08},0.0012259659821061142
dummy_most_frequent,0.2653532460941748,9.424729039040346e-05,0.2653532147272044,0.0,0.0,0.0,0.0,0.5,0.7346467539058252,1,{},-3.136697040995173e-08
