feature,raw_feature,importance,importance_type,abs_importance,direction
is_month_to_month,numeric__is_month_to_month,13.436706874826154,tree_feature_importance,13.436706874826154,Importancia predictiva
tenure,numeric__tenure,12.115570487754903,tree_feature_importance,12.115570487754903,Importancia predictiva
Contract_Month-to-month,categorical__Contract_Month-to-month,7.255074092990216,tree_feature_importance,7.255074092990216,Importancia predictiva
Contract_Two year,categorical__Contract_Two year,4.511028573971819,tree_feature_importance,4.511028573971819,Importancia predictiva
InternetService_Fiber optic,categorical__InternetService_Fiber optic,4.363748001436938,tree_feature_importance,4.363748001436938,Importancia predictiva
has_fiber_optic,numeric__has_fiber_optic,4.185660267175382,tree_feature_importance,4.185660267175382,Importancia predictiva
TotalCharges,numeric__TotalCharges,4.075240708167012,tree_feature_importance,4.075240708167012,Importancia predictiva
charges_gap,numeric__charges_gap,3.734929002983424,tree_feature_importance,3.734929002983424,Importancia predictiva
OnlineSecurity_No,categorical__OnlineSecurity_No,3.569718539795433,tree_feature_importance,3.569718539795433,Importancia predictiva
streaming_services_count,numeric__streaming_services_count,3.3124819252951996,tree_feature_importance,3.3124819252951996,Importancia predictiva
avg_charge_per_tenure,numeric__avg_charge_per_tenure,3.1392706713123117,tree_feature_importance,3.1392706713123117,Importancia predictiva
tenure_group_49+,categorical__tenure_group_49+,2.7698047033853195,tree_feature_importance,2.7698047033853195,Importancia predictiva
digital_payment_risk,numeric__digital_payment_risk,2.6620539748319856,tree_feature_importance,2.6620539748319856,Importancia predictiva
support_services_count,numeric__support_services_count,2.5541700146403,tree_feature_importance,2.5541700146403,Importancia predictiva
MonthlyCharges,numeric__MonthlyCharges,2.388068926535873,tree_feature_importance,2.388068926535873,Importancia predictiva
TechSupport_No,categorical__TechSupport_No,2.2968507870701695,tree_feature_importance,2.2968507870701695,Importancia predictiva
PaymentMethod_Mailed check,categorical__PaymentMethod_Mailed check,2.193742438115151,tree_feature_importance,2.193742438115151,Importancia predictiva
tenure_group_0-6,categorical__tenure_group_0-6,2.1584458592513704,tree_feature_importance,2.1584458592513704,Importancia predictiva
total_services_count,numeric__total_services_count,1.5436260216589168,tree_feature_importance,1.5436260216589168,Importancia predictiva
MultipleLines_No,categorical__MultipleLines_No,1.4491339313535057,tree_feature_importance,1.4491339313535057,Importancia predictiva
phone_or_addon_services_count,numeric__phone_or_addon_services_count,1.4443256774474604,tree_feature_importance,1.4443256774474604,Importancia predictiva
Contract_One year,categorical__Contract_One year,1.4437022640486128,tree_feature_importance,1.4437022640486128,Importancia predictiva
is_electronic_check,numeric__is_electronic_check,0.9981567077367978,tree_feature_importance,0.9981567077367978,Importancia predictiva
OnlineSecurity_No internet service,categorical__OnlineSecurity_No internet service,0.8969332969662063,tree_feature_importance,0.8969332969662063,Importancia predictiva
StreamingTV_No internet service,categorical__StreamingTV_No internet service,0.7495364517213815,tree_feature_importance,0.7495364517213815,Importancia predictiva
has_internet_service,numeric__has_internet_service,0.7140155657520013,tree_feature_importance,0.7140155657520013,Importancia predictiva
PaperlessBilling_No,categorical__PaperlessBilling_No,0.7112298026628655,tree_feature_importance,0.7112298026628655,Importancia predictiva
SeniorCitizen,numeric__SeniorCitizen,0.6231571181612953,tree_feature_importance,0.6231571181612953,Importancia predictiva
OnlineBackup_No,categorical__OnlineBackup_No,0.527233193639911,tree_feature_importance,0.527233193639911,Importancia predictiva
paperless_billing_flag,numeric__paperless_billing_flag,0.5137456327574578,tree_feature_importance,0.5137456327574578,Importancia predictiva
PaperlessBilling_Yes,categorical__PaperlessBilling_Yes,0.5097589191178409,tree_feature_importance,0.5097589191178409,Importancia predictiva
tenure_group_25-48,categorical__tenure_group_25-48,0.45509200827775903,tree_feature_importance,0.45509200827775903,Importancia predictiva
Dependents_No,categorical__Dependents_No,0.4549769463276826,tree_feature_importance,0.4549769463276826,Importancia predictiva
PaymentMethod_Bank transfer (automatic),categorical__PaymentMethod_Bank transfer (automatic),0.42454421232994205,tree_feature_importance,0.42454421232994205,Importancia predictiva
TechSupport_No internet service,categorical__TechSupport_No internet service,0.41989038587669153,tree_feature_importance,0.41989038587669153,Importancia predictiva
StreamingMovies_Yes,categorical__StreamingMovies_Yes,0.41647765158795524,tree_feature_importance,0.41647765158795524,Importancia predictiva
OnlineBackup_Yes,categorical__OnlineBackup_Yes,0.3989293422686103,tree_feature_importance,0.3989293422686103,Importancia predictiva
Dependents_Yes,categorical__Dependents_Yes,0.3695825023713231,tree_feature_importance,0.3695825023713231,Importancia predictiva
StreamingTV_Yes,categorical__StreamingTV_Yes,0.34594595532743766,tree_feature_importance,0.34594595532743766,Importancia predictiva
PaymentMethod_Electronic check,categorical__PaymentMethod_Electronic check,0.3013881606979268,tree_feature_importance,0.3013881606979268,Importancia predictiva
gender_Female,categorical__gender_Female,0.284185568745632,tree_feature_importance,0.284185568745632,Importancia predictiva
StreamingMovies_No,categorical__StreamingMovies_No,0.2738402446066082,tree_feature_importance,0.2738402446066082,Importancia predictiva
TechSupport_Yes,categorical__TechSupport_Yes,0.2646062891200276,tree_feature_importance,0.2646062891200276,Importancia predictiva
InternetService_DSL,categorical__InternetService_DSL,0.2567448598766925,tree_feature_importance,0.2567448598766925,Importancia predictiva
OnlineBackup_No internet service,categorical__OnlineBackup_No internet service,0.2465555291519701,tree_feature_importance,0.2465555291519701,Importancia predictiva
PhoneService_Yes,categorical__PhoneService_Yes,0.23665647694462427,tree_feature_importance,0.23665647694462427,Importancia predictiva
DeviceProtection_No,categorical__DeviceProtection_No,0.22815107899739698,tree_feature_importance,0.22815107899739698,Importancia predictiva
gender_Male,categorical__gender_Male,0.21740821877802624,tree_feature_importance,0.21740821877802624,Importancia predictiva
MultipleLines_Yes,categorical__MultipleLines_Yes,0.20558635655757906,tree_feature_importance,0.20558635655757906,Importancia predictiva
tenure_group_13-24,categorical__tenure_group_13-24,0.1726248589145466,tree_feature_importance,0.1726248589145466,Importancia predictiva
OnlineSecurity_Yes,categorical__OnlineSecurity_Yes,0.1673358524416313,tree_feature_importance,0.1673358524416313,Importancia predictiva
PhoneService_No,categorical__PhoneService_No,0.15809436297074733,tree_feature_importance,0.15809436297074733,Importancia predictiva
Partner_No,categorical__Partner_No,0.14999506856934036,tree_feature_importance,0.14999506856934036,Importancia predictiva
StreamingTV_No,categorical__StreamingTV_No,0.14424276254748664,tree_feature_importance,0.14424276254748664,Importancia predictiva
StreamingMovies_No internet service,categorical__StreamingMovies_No internet service,0.1324179358242185,tree_feature_importance,0.1324179358242185,Importancia predictiva
MultipleLines_No phone service,categorical__MultipleLines_No phone service,0.11894086342218912,tree_feature_importance,0.11894086342218912,Importancia predictiva
has_support_services,numeric__has_support_services,0.09248866928647327,tree_feature_importance,0.09248866928647327,Importancia predictiva
DeviceProtection_No internet service,categorical__DeviceProtection_No internet service,0.07389989770753075,tree_feature_importance,0.07389989770753075,Importancia predictiva
tenure_group_7-12,categorical__tenure_group_7-12,0.06129405551676129,tree_feature_importance,0.06129405551676129,Importancia predictiva
InternetService_No,categorical__InternetService_No,0.044833326008835016,tree_feature_importance,0.044833326008835016,Importancia predictiva
DeviceProtection_Yes,categorical__DeviceProtection_Yes,0.03615012638311511,tree_feature_importance,0.03615012638311511,Importancia predictiva
Partner_Yes,categorical__Partner_Yes,0.0,tree_feature_importance,0.0,Importancia predictiva
TotalCharges_was_missing,numeric__TotalCharges_was_missing,0.0,tree_feature_importance,0.0,Importancia predictiva
tenure_is_zero,numeric__tenure_is_zero,0.0,tree_feature_importance,0.0,Importancia predictiva
